year,bucket,n_articles
2007,MeSH_GWAS,19
2007,text_AI_genomics,3
2007,text_GWAS_core,244
2007,text_HLA,7
2007,text_biobank,2
2007,text_epigenomics,1
2007,text_family_based,38
2007,text_finemapping,9
2007,text_gene_prioritization,5
2007,text_genetic_correlation,2
2007,text_heritability,17
2007,text_longitudinal,16
2007,text_meta_analysis,9
2007,text_noncoding,5
2007,text_pathway_analysis,1
2007,text_proteomics,1
2007,text_sex_chromosome,3
2007,text_structural_variant,5
2007,text_transcriptomics,1
2008,MeSH_GWAS,197
2008,text_AI_genomics,2
2008,text_GWAS_core,605
2008,text_HLA,30
2008,text_biobank,6
2008,text_epigenomics,4
2008,text_family_based,42
2008,text_finemapping,30
2008,text_functional_annotation,2
2008,text_gene_prioritization,8
2008,text_genetic_correlation,3
2008,text_heritability,24
2008,text_longitudinal,33
2008,text_meta_analysis,31
2008,text_metabolomics,3
2008,text_mitochondrial,3
2008,text_noncoding,16
2008,text_pathway_analysis,4
2008,text_proteomics,6
2008,text_sex_chromosome,6
2008,text_structural_variant,18
2008,text_transcriptomics,3
2009,MeSH_GWAS,1503
2009,text_AI_genomics,8
2009,text_GWAS_core,1168
2009,text_HLA,100
2009,text_MR,3
2009,text_biobank,16
2009,text_colocalization,1
2009,text_epigenomics,15
2009,text_exome,1
2009,text_family_based,97
2009,text_finemapping,79
2009,text_functional_annotation,6
2009,text_gene_prioritization,28
2009,text_genetic_correlation,12
2009,text_heritability,72
2009,text_longitudinal,98
2009,text_meta_analysis,125
2009,text_metabolomics,5
2009,text_mitochondrial,4
2009,text_noncoding,94
2009,text_pathway_analysis,20
2009,text_proteomics,14
2009,text_sex_chromosome,11
2009,text_single_cell,1
2009,text_structural_variant,51
2009,text_transcriptomics,28
2010,MeSH_GWAS,2260
2010,text_AI_genomics,10
2010,text_GWAS_core,1590
2010,text_HLA,113
2010,text_MR,4
2010,text_PRS,2
2010,text_biobank,26
2010,text_colocalization,1
2010,text_epigenomics,40
2010,text_exome,9
2010,text_family_based,111
2010,text_finemapping,96
2010,text_functional_annotation,9
2010,text_gene_prioritization,53
2010,text_genetic_correlation,14
2010,text_heritability,153
2010,text_longitudinal,143
2010,text_meta_analysis,195
2010,text_metabolomics,6
2010,text_mitochondrial,8
2010,text_noncoding,126
2010,text_pathway_analysis,36
2010,text_proteomics,29
2010,text_sex_chromosome,24
2010,text_single_cell,2
2010,text_structural_variant,77
2010,text_transcriptomics,47
2011,MeSH_GWAS,2634
2011,text_AI_genomics,9
2011,text_GWAS_core,2020
2011,text_HLA,158
2011,text_MR,6
2011,text_PRS,6
2011,text_biobank,27
2011,text_colocalization,1
2011,text_epigenomics,65
2011,text_exome,42
2011,text_family_based,126
2011,text_finemapping,116
2011,text_functional_annotation,24
2011,text_gene_prioritization,72
2011,text_genetic_correlation,20
2011,text_heritability,185
2011,text_longitudinal,173
2011,text_meta_analysis,260
2011,text_metabolomics,13
2011,text_mitochondrial,11
2011,text_noncoding,154
2011,text_pathway_analysis,54
2011,text_proteomics,28
2011,text_sex_chromosome,20
2011,text_single_cell,3
2011,text_structural_variant,103
2011,text_transcriptomics,61
2012,MeSH_GWAS,2579
2012,text_AI_genomics,9
2012,text_GWAS_core,2284
2012,text_HLA,173
2012,text_MR,5
2012,text_PRS,18
2012,text_biobank,40
2012,text_colocalization,1
2012,text_epigenomics,123
2012,text_exome,67
2012,text_family_based,123
2012,text_finemapping,140
2012,text_functional_annotation,16
2012,text_gene_prioritization,78
2012,text_genetic_correlation,20
2012,text_heritability,207
2012,text_longitudinal,166
2012,text_meta_analysis,314
2012,text_metabolomics,29
2012,text_mitochondrial,11
2012,text_noncoding,193
2012,text_pathway_analysis,79
2012,text_proteomics,30
2012,text_sex_chromosome,25
2012,text_single_cell,2
2012,text_structural_variant,86
2012,text_transcriptomics,96
2013,MeSH_GWAS,2628
2013,text_AI_genomics,9
2013,text_GWAS_core,2434
2013,text_HLA,186
2013,text_MR,7
2013,text_PRS,22
2013,text_biobank,51
2013,text_colocalization,2
2013,text_epigenomics,155
2013,text_exome,103
2013,text_family_based,126
2013,text_finemapping,122
2013,text_functional_annotation,27
2013,text_gene_prioritization,73
2013,text_genetic_correlation,36
2013,text_heritability,260
2013,text_longitudinal,168
2013,text_meta_analysis,352
2013,text_metabolomics,29
2013,text_mitochondrial,8
2013,text_noncoding,202
2013,text_pathway_analysis,91
2013,text_proteomics,25
2013,text_sex_chromosome,21
2013,text_single_cell,2
2013,text_structural_variant,103
2013,text_transcriptomics,122
2014,MeSH_GWAS,2537
2014,text_AI_genomics,12
2014,text_GWAS_core,2531
2014,text_HLA,161
2014,text_MR,14
2014,text_PRS,37
2014,text_biobank,54
2014,text_colocalization,4
2014,text_epigenomics,181
2014,text_exome,146
2014,text_family_based,125
2014,text_finemapping,132
2014,text_functional_annotation,51
2014,text_gene_prioritization,87
2014,text_genetic_correlation,45
2014,text_heritability,259
2014,text_longitudinal,194
2014,text_meta_analysis,345
2014,text_metabolomics,38
2014,text_mitochondrial,6
2014,text_noncoding,244
2014,text_pathway_analysis,94
2014,text_proteomics,32
2014,text_sex_chromosome,22
2014,text_single_cell,8
2014,text_structural_variant,93
2014,text_transcriptomics,150
2015,MeSH_GWAS,2801
2015,text_AI_genomics,15
2015,text_GWAS_core,2722
2015,text_HLA,208
2015,text_MR,26
2015,text_PRS,48
2015,text_biobank,49
2015,text_colocalization,5
2015,text_epigenomics,252
2015,text_exome,166
2015,text_family_based,101
2015,text_finemapping,141
2015,text_functional_annotation,57
2015,text_gene_prioritization,119
2015,text_genetic_correlation,60
2015,text_heritability,288
2015,text_longitudinal,183
2015,text_meta_analysis,361
2015,text_metabolomics,31
2015,text_mitochondrial,14
2015,text_noncoding,290
2015,text_pathway_analysis,136
2015,text_proteomics,32
2015,text_sex_chromosome,32
2015,text_single_cell,7
2015,text_structural_variant,88
2015,text_transcriptomics,195
2016,MeSH_GWAS,2802
2016,text_AI_genomics,20
2016,text_GWAS_core,2751
2016,text_HLA,159
2016,text_MR,62
2016,text_PRS,70
2016,text_biobank,65
2016,text_colocalization,6
2016,text_epigenomics,285
2016,text_exome,187
2016,text_family_based,104
2016,text_finemapping,137
2016,text_functional_annotation,59
2016,text_gene_prioritization,128
2016,text_genetic_correlation,97
2016,text_heritability,262
2016,text_longitudinal,181
2016,text_meta_analysis,386
2016,text_metabolomics,37
2016,text_mitochondrial,9
2016,text_noncoding,331
2016,text_pathway_analysis,96
2016,text_proteomics,28
2016,text_sex_chromosome,30
2016,text_single_cell,8
2016,text_structural_variant,89
2016,text_transcriptomics,205
2017,MeSH_GWAS,2950
2017,text_AI_genomics,27
2017,text_GWAS_core,2840
2017,text_HLA,160
2017,text_MR,90
2017,text_PRS,88
2017,text_biobank,101
2017,text_colocalization,6
2017,text_epigenomics,314
2017,text_exome,202
2017,text_family_based,96
2017,text_finemapping,162
2017,text_functional_annotation,71
2017,text_gene_prioritization,126
2017,text_genetic_correlation,122
2017,text_heritability,290
2017,text_longitudinal,175
2017,text_meta_analysis,387
2017,text_metabolomics,38
2017,text_mitochondrial,8
2017,text_noncoding,350
2017,text_pathway_analysis,121
2017,text_proteomics,45
2017,text_sex_chromosome,37
2017,text_single_cell,14
2017,text_structural_variant,81
2017,text_transcriptomics,273
2018,MeSH_GWAS,2936
2018,text_AI_genomics,45
2018,text_GWAS_core,2912
2018,text_HLA,137
2018,text_MR,143
2018,text_PRS,171
2018,text_biobank,161
2018,text_colocalization,16
2018,text_epigenomics,334
2018,text_exome,163
2018,text_family_based,115
2018,text_finemapping,137
2018,text_functional_annotation,76
2018,text_gene_prioritization,165
2018,text_genetic_correlation,172
2018,text_heritability,317
2018,text_longitudinal,217
2018,text_meta_analysis,386
2018,text_metabolomics,45
2018,text_mitochondrial,9
2018,text_noncoding,352
2018,text_pathway_analysis,105
2018,text_proteomics,39
2018,text_sex_chromosome,28
2018,text_single_cell,30
2018,text_structural_variant,72
2018,text_transcriptomics,280
2019,MeSH_GWAS,3328
2019,text_AI_genomics,49
2019,text_GWAS_core,3350
2019,text_HLA,155
2019,text_MR,220
2019,text_PRS,231
2019,text_biobank,263
2019,text_colocalization,30
2019,text_epigenomics,371
2019,text_exome,150
2019,text_family_based,101
2019,text_finemapping,171
2019,text_functional_annotation,82
2019,text_gene_prioritization,202
2019,text_genetic_correlation,227
2019,text_heritability,353
2019,text_longitudinal,240
2019,text_meta_analysis,401
2019,text_metabolomics,39
2019,text_mitochondrial,9
2019,text_noncoding,404
2019,text_pathway_analysis,140
2019,text_proteomics,62
2019,text_sex_chromosome,29
2019,text_single_cell,26
2019,text_structural_variant,63
2019,text_transcriptomics,415
2020,MeSH_GWAS,3316
2020,text_AI_genomics,73
2020,text_GWAS_core,3575
2020,text_HLA,139
2020,text_MR,387
2020,text_PRS,315
2020,text_biobank,396
2020,text_colocalization,36
2020,text_epigenomics,347
2020,text_exome,121
2020,text_family_based,100
2020,text_finemapping,163
2020,text_functional_annotation,102
2020,text_gene_prioritization,203
2020,text_genetic_correlation,281
2020,text_heritability,339
2020,text_longitudinal,253
