rank_volume,journal_key,full_title,gwas_hits,total_articles,fraction_gwas,meets_min_total
1,PLoS One,PloS one,2894,326041,0.008876,Y
2,Sci Rep,Scientific reports,2186,280060,0.007805,Y
3,Nat Genet,Nature genetics,1339,5439,0.246185,Y
4,Nat Commun,Nature communications,1295,83385,0.015530,Y
5,Front Genet,Frontiers in genetics,1185,16450,0.072036,Y
6,BMC Genomics,BMC genomics,1086,17995,0.060350,Y
7,PLoS Genet,PLoS genetics,1079,10732,0.100540,Y
8,Hum Mol Genet,Human molecular genetics,1007,7560,0.133201,Y
9,Front Plant Sci,Frontiers in plant science,931,32726,0.028448,Y
10,Int J Mol Sci,International journal of molecular sciences,901,106780,0.008438,Y
11,Medicine (Baltimore),Medicine,881,46531,0.018934,Y
12,Genes (Basel),Genes,783,14024,0.055833,Y
13,Am J Hum Genet,American journal of human genetics,780,3811,0.204671,Y
14,medRxiv,medRxiv : the preprint server for health sciences,688,9237,0.074483,Y
15,Genet Epidemiol,Genetic epidemiology,645,1325,0.486792,Y
16,Mol Psychiatry,Molecular psychiatry,637,5391,0.118160,Y
17,Bioinformatics,"Bioinformatics (Oxford, England)",612,15338,0.039901,Y
18,Transl Psychiatry,Translational psychiatry,522,5011,0.104171,Y
19,Front Immunol,Frontiers in immunology,517,48479,0.010664,Y
20,Theor Appl Genet,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,500,4657,0.107365,Y
21,Eur J Hum Genet,European journal of human genetics : EJHG,477,4718,0.101102,Y
22,BMC Plant Biol,BMC plant biology,474,9387,0.050495,Y
23,Hum Genet,Human genetics,459,2968,0.154650,Y
24,Proc Natl Acad Sci U S A,Proceedings of the National Academy of Sciences of the United States of America,443,76194,0.005814,Y
25,bioRxiv,bioRxiv : the preprint server for biology,439,37168,0.011811,Y
26,Front Endocrinol (Lausanne),Frontiers in endocrinology,405,18514,0.021875,Y
27,G3 (Bethesda),"G3 (Bethesda, Md.)",403,4655,0.086574,Y
28,Anim Genet,Animal genetics,379,2334,0.162382,Y
29,Methods Mol Biol,"Methods in molecular biology (Clifton, N.J.)",373,58604,0.006365,Y
30,Am J Med Genet B Neuropsychiatr Genet,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",342,1766,0.193658,Y
31,Gene,Gene,334,12570,0.026571,Y
32,Clin Epigenetics,Clinical epigenetics,327,2144,0.152519,Y
33,J Hum Genet,Journal of human genetics,312,2673,0.116723,Y
34,BMC Bioinformatics,BMC bioinformatics,307,11256,0.027274,Y
35,BMC Genet,BMC genetics,305,1694,0.180047,Y
36,Genet Sel Evol,"Genetics, selection, evolution : GSE",299,1328,0.225151,Y
37,Nucleic Acids Res,Nucleic acids research,297,24998,0.011881,Y
38,J Affect Disord,Journal of affective disorders,294,17691,0.016619,Y
39,Genetics,Genetics,292,6336,0.046086,Y
40,Genome Biol,Genome biology,285,5364,0.053132,Y
41,Cancer Epidemiol Biomarkers Prev,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",275,5872,0.046832,Y
42,Nature,Nature,264,55501,0.004757,Y
43,Biol Psychiatry,Biological psychiatry,262,6170,0.042464,Y
44,Diabetes,Diabetes,259,6727,0.038502,Y
45,Genome Med,Genome medicine,258,2099,0.122916,Y
46,Plants (Basel),"Plants (Basel, Switzerland)",255,21179,0.012040,Y
47,Plant Genome,The plant genome,253,985,0.256853,Y
