rank_share,journal_key,full_title,gwas_hits,total_articles,fraction_gwas
1,Genet Epidemiol,Genetic epidemiology,645,1325,0.486792
2,Hum Hered,Human heredity,156,556,0.280576
3,HGG Adv,HGG advances,126,457,0.275711
4,Plant Genome,The plant genome,253,985,0.256853
5,Nat Genet,Nature genetics,1339,5439,0.246185
6,Genet Sel Evol,"Genetics, selection, evolution : GSE",299,1328,0.225151
7,Circ Cardiovasc Genet,Circulation. Cardiovascular genetics,199,961,0.207076
8,Am J Hum Genet,American journal of human genetics,780,3811,0.204671
9,Curr Genet Med Rep,Current genetic medicine reports,15,77,0.194805
10,Am J Med Genet B Neuropsychiatr Genet,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",342,1766,0.193658
11,BMC Genet,BMC genetics,305,1694,0.180047
12,Cell Genom,Cell genomics,108,609,0.177340
13,Circ Genom Precis Med,Circulation. Genomic and precision medicine,128,764,0.167539
14,BMC Proc,BMC proceedings,207,1255,0.164940
15,Anim Genet,Animal genetics,379,2334,0.162382
16,Hum Genet,Human genetics,459,2968,0.154650
17,Clin Epigenetics,Clinical epigenetics,327,2144,0.152519
18,Ann Hum Genet,Annals of human genetics,137,991,0.138244
19,Complex Psychiatry,Complex psychiatry,8,59,0.135593
20,Hum Mol Genet,Human molecular genetics,1007,7560,0.133201
21,Genome Med,Genome medicine,258,2099,0.122916
22,Psychiatr Genet,Psychiatric genetics,99,819,0.120879
23,Mol Breed,Molecular breeding : new strategies in plant improvement,70,584,0.119863
24,Genes Immun,Genes and immunity,142,1200,0.118333
25,Mol Psychiatry,Molecular psychiatry,637,5391,0.118160
26,J Hum Genet,Journal of human genetics,312,2673,0.116723
27,Mol Neuropsychiatry,Molecular neuropsychiatry,13,118,0.110169
28,Theor Appl Genet,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik,500,4657,0.107365
29,BMC Med Genet,BMC medical genetics,229,2136,0.107210
30,Behav Genet,Behavior genetics,111,1042,0.106526
31,Hum Genomics,Human genomics,112,1060,0.105660
32,Transl Psychiatry,Translational psychiatry,522,5011,0.104171
33,Genomics Inform,Genomics & informatics,58,568,0.102113
34,Pharmacogenomics J,The pharmacogenomics journal,118,1156,0.102076
35,Annu Rev Genomics Hum Genet,Annual review of genomics and human genetics,39,384,0.101562
36,Eur J Hum Genet,European journal of human genetics : EJHG,477,4718,0.101102
37,PLoS Genet,PLoS genetics,1079,10732,0.100540
38,Pac Symp Biocomput,Pacific Symposium on Biocomputing. Pacific Symposium on Biocomputing,87,884,0.098416
39,Stat Appl Genet Mol Biol,Statistical applications in genetics and molecular biology,53,552,0.096014
40,Curr Protoc Hum Genet,Current protocols in human genetics,25,268,0.093284
41,Annu Rev Biomed Data Sci,Annual review of biomedical data science,11,119,0.092437
42,Mamm Genome,Mammalian genome : official journal of the International Mammalian Genome Society,105,1183,0.088757
43,Adv Genet,Advances in genetics,33,380,0.086842
44,Lifestyle Genom,Lifestyle genomics,11,127,0.086614
45,G3 (Bethesda),"G3 (Bethesda, Md.)",403,4655,0.086574
46,Epigenetics,Epigenetics,172,2048,0.083984
47,J Anim Breed Genet,Journal of animal breeding and genetics = Zeitschrift fur Tierzuchtung und Zuchtungsbiologie,97,1169,0.082977
48,BMC Med Genomics,BMC medical genomics,229,2788,0.082138
49,Twin Res Hum Genet,Twin research and human genetics : the official journal of the International Society for Twin Studies,112,1390,0.080576
50,Rice (N Y),"Rice (New York, N.Y.)",77,958,0.080376
51,J Investig Dermatol Symp Proc,The journal of investigative dermatology. Symposium proceedings,15,191,0.078534
52,Phenomics,"Phenomics (Cham, Switzerland)",16,204,0.078431
53,Quant Biol,"Quantitative biology (Beijing, China)",5,66,0.075758
54,medRxiv,medRxiv : the preprint server for health sciences,688,9237,0.074483
55,BMC Genom Data,BMC genomic data,33,444,0.074324
56,BioData Min,BioData mining,45,615,0.073171
57,Front Genet,Frontiers in genetics,1185,16450,0.072036
58,Pharmacogenet Genomics,Pharmacogenetics and genomics,92,1304,0.070552
59,Genes Brain Behav,"Genes, brain, and behavior",100,1427,0.070077
60,Mol Genet Genomics,Molecular genetics and genomics : MGG,146,2127,0.068641
61,Pharmacogenomics,Pharmacogenomics,191,2799,0.068239
62,Nat Rev Genet,Nature reviews. Genetics,165,2424,0.068069
63,J Nutrigenet Nutrigenomics,Journal of nutrigenetics and nutrigenomics,15,223,0.067265
64,Hortic Res,Horticulture research,129,2119,0.060878
65,BMC Genomics,BMC genomics,1086,17995,0.060350
66,NPJ Genom Med,NPJ genomic medicine,35,582,0.060137
67,Genet Res (Camb),Genetics research,28,476,0.058824
68,Int J Mol Epidemiol Genet,International journal of molecular epidemiology and genetics,14,243,0.057613
69,Genes (Basel),Genes,783,14024,0.055833
70,Stat Sci,Statistical science : a review journal of the Institute of Mathematical Statistics,4,72,0.055556
71,Canine Med Genet,Canine medicine and genetics,3,54,0.055556
72,Trends Genet,Trends in genetics : TIG,101,1847,0.054683
73,Genome Res,Genome research,198,3645,0.054321
74,Stat Interface,Statistics and its interface,7,129,0.054264
75,Canine Genet Epidemiol,Canine genetics and epidemiology,4,74,0.054054
76,Wiley Interdiscip Rev Syst Biol Med,Wiley interdisciplinary reviews. Systems biology and medicine,23,426,0.053991
77,Genome Biol,Genome biology,285,5364,0.053132
78,Brief Funct Genomics,Briefings in functional genomics,41,773,0.053040
79,Epigenomics,Epigenomics,96,1825,0.052603
80,J Med Genet,Journal of medical genetics,130,2476,0.052504
81,BMC Plant Biol,BMC plant biology,474,9387,0.050495
82,Genomics,Genomics,167,3348,0.049881
83,Discov Oncol,Discover oncology,195,3988,0.048897
84,Plant Biotechnol J,Plant biotechnology journal,167,3505,0.047646
85,Epigenomes,Epigenomes,12,255,0.047059
86,Cancer Epidemiol Biomarkers Prev,"Cancer epidemiology, biomarkers & prevention : a publication of the American Association for Cancer Research, cosponsored by the American Society of Preventive Oncology",275,5872,0.046832
87,J Psychiatr Brain Sci,Journal of psychiatry and brain science,4,86,0.046512
88,Genetics,Genetics,292,6336,0.046086
89,J Appl Genet,Journal of applied genetics,58,1262,0.045959
90,Brief Funct Genomic Proteomic,Briefings in functional genomics & proteomics,6,131,0.045802
91,DNA Res,DNA research : an international journal for rapid publication of reports on genes and genomes,35,774,0.045220
92,Genes Genomics,Genes & genomics,50,1107,0.045167
93,Biostatistics,"Biostatistics (Oxford, England)",52,1158,0.044905
94,Curr Opin Lipidol,Current opinion in lipidology,68,1517,0.044825
95,Neurol Genet,Neurology. Genetics,42,953,0.044071
96,Vavilovskii Zhurnal Genet Selektsii,Vavilovskii zhurnal genetiki i selektsii,27,614,0.043974
97,Summit Transl Bioinform,Summit on translational bioinformatics,3,69,0.043478
98,Biol Psychiatry Glob Open Sci,Biological psychiatry global open science,24,559,0.042934
99,Curr Cardiovasc Risk Rep,Current cardiovascular risk reports,6,140,0.042857
100,Genomics Proteomics Bioinformatics,"Genomics, proteomics & bioinformatics",47,1099,0.042766
101,Genes Nutr,Genes & nutrition,32,753,0.042497
102,Biol Psychiatry,Biological psychiatry,262,6170,0.042464
103,Epigenet Insights,Epigenetics insights,3,71,0.042254
104,Plant Phenomics,"Plant phenomics (Washington, D.C.)",16,384,0.041667
105,Neurobiol Aging,Neurobiology of aging,225,5410,0.041590
106,Carcinogenesis,Carcinogenesis,163,3941,0.041360
107,Curr Genomics,Current genomics,40,968,0.041322
108,Plant Commun,Plant communications,37,913,0.040526
109,Environ Epigenet,Environmental epigenetics,10,248,0.040323
110,Biol Mood Anxiety Disord,Biology of mood & anxiety disorders,3,75,0.040000
111,Bioinformatics,"Bioinformatics (Oxford, England)",612,15338,0.039901
112,Heredity (Edinb),Heredity,91,2333,0.039006
113,Diabetes,Diabetes,259,6727,0.038502
114,Curr Opin Genet Dev,Current opinion in genetics & development,71,1865,0.038070
115,NAR Genom Bioinform,NAR genomics and bioinformatics,34,894,0.038031
116,Physiol Genomics,Physiological genomics,63,1708,0.036885
117,Brief Bioinform,Briefings in bioinformatics,182,4973,0.036598
118,NPJ Schizophr,NPJ schizophrenia,9,246,0.036585
119,Curr Sleep Med Rep,Current sleep medicine reports,3,86,0.034884
120,J Autoimmun,Journal of autoimmunity,73,2095,0.034845
121,World J Biol Psychiatry,The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,47,1362,0.034508
122,Diabetologia,Diabetologia,202,5856,0.034495
123,Neurogenetics,Neurogenetics,27,784,0.034439
124,Gigascience,GigaScience,51,1481,0.034436
125,Int J Epidemiol,International journal of epidemiology,165,4859,0.033958
126,Biometrika,Biometrika,11,325,0.033846
127,Breed Sci,Breeding science,29,859,0.033760
128,Immunogenetics,Immunogenetics,40,1192,0.033557
129,Pharmgenomics Pers Med,Pharmacogenomics and personalized medicine,23,686,0.033528
130,Proceedings (IEEE Int Conf Bioinformatics Biomed),Proceedings. IEEE International Conference on Bioinformatics and Biomedicine,6,179,0.033520
131,Curr Diab Rep,Current diabetes reports,58,1732,0.033487
132,Appl Clin Genet,The application of clinical genetics,11,339,0.032448
133,Curr Dermatol Rep,Current dermatology reports,2,62,0.032258
