year,rank_share,journal_key,full_title,gwas_hits,total_articles,fraction_gwas
2007,1,BMC Med Genet,BMC medical genetics,20,100,0.200000
2007,2,Genet Epidemiol,Genetic epidemiology,12,87,0.137931
2007,3,BMC Genet,BMC genetics,9,87,0.103448
2007,4,BMC Proc,BMC proceedings,17,166,0.102410
2007,5,Hum Hered,Human heredity,5,50,0.100000
2007,6,Nat Genet,Nature genetics,28,300,0.093333
2007,7,Int J Chron Obstruct Pulmon Dis,International journal of chronic obstructive pulmonary disease,2,75,0.026667
2007,8,Lancet Neurol,The Lancet. Neurology,5,209,0.023923
2007,9,Curr Opin Cardiol,Current opinion in cardiology,2,85,0.023529
2007,10,Nat Rev Genet,Nature reviews. Genetics,2,85,0.023529
2007,11,Breast Cancer Res,Breast cancer research : BCR,3,132,0.022727
2007,12,PLoS Genet,PLoS genetics,5,225,0.022222
2007,13,J Hum Genet,Journal of human genetics,3,137,0.021898
2007,14,Eur J Hum Genet,European journal of human genetics : EJHG,4,191,0.020942
2007,15,Hum Mol Genet,Human molecular genetics,6,323,0.018576
2007,16,Diabetes,Diabetes,7,401,0.017456
2007,17,Biomark Insights,Biomarker insights,1,58,0.017241
2007,18,Genes Nutr,Genes & nutrition,1,58,0.017241
2007,19,J Anim Breed Genet,Journal of animal breeding and genetics = Zeitschrift fur Tierzuchtung und Zuchtungsbiologie,1,63,0.015873
2007,20,Drug News Perspect,Drug news & perspectives,1,74,0.013514
2007,21,Expert Rev Mol Diagn,Expert review of molecular diagnostics,1,77,0.012987
2007,22,Future Oncol,"Future oncology (London, England)",1,77,0.012987
2007,23,PLoS One,PloS one,16,1234,0.012966
2007,24,Future Cardiol,Future cardiology,1,78,0.012821
2007,25,Curr Opin Genet Dev,Current opinion in genetics & development,1,79,0.012658
2007,26,Expert Rev Endocrinol Metab,Expert review of endocrinology & metabolism,1,80,0.012500
2007,27,J Biomed Inform,Journal of biomedical informatics,1,80,0.012500
2007,28,Am J Hum Genet,American journal of human genetics,3,243,0.012346
2007,29,Ann Hum Genet,Annals of human genetics,1,81,0.012346
2007,30,Curr Neurol Neurosci Rep,Current neurology and neuroscience reports,1,81,0.012346
2007,31,Zhonghua Yi Xue Yi Chuan Xue Za Zhi,Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics,2,166,0.012048
2007,32,Curr Psychiatry Rep,Current psychiatry reports,1,88,0.011364
2007,33,Curr Opin Pulm Med,Current opinion in pulmonary medicine,1,90,0.011111
2007,34,Immunogenetics,Immunogenetics,1,92,0.010870
2007,35,Trends Pharmacol Sci,Trends in pharmacological sciences,1,93,0.010753
2007,36,Curr Opin Allergy Clin Immunol,Current opinion in allergy and clinical immunology,1,95,0.010526
2007,37,Acta Haematol,Acta haematologica,1,97,0.010309
2007,38,Genome Res,Genome research,2,200,0.010000
2007,39,J Hered,The Journal of heredity,1,101,0.009901
2007,40,Curr Opin Rheumatol,Current opinion in rheumatology,1,102,0.009804
2007,41,Trends Genet,Trends in genetics : TIG,1,102,0.009804
2007,42,Twin Res Hum Genet,Twin research and human genetics : the official journal of the International Society for Twin Studies,1,104,0.009615
2007,43,Curr Opin Lipidol,Current opinion in lipidology,1,106,0.009434
2007,44,Curr Opin Clin Nutr Metab Care,Current opinion in clinical nutrition and metabolic care,1,108,0.009259
2007,45,Nutr Rev,Nutrition reviews,1,111,0.009009
2007,46,Cancer Causes Control,Cancer causes & control : CCC,1,118,0.008475
2007,47,Hum Genet,Human genetics,3,360,0.008333
2007,48,Cell Metab,Cell metabolism,1,121,0.008264
2007,49,Anim Genet,Animal genetics,1,123,0.008130
2007,50,Hum Immunol,Human immunology,1,128,0.007812
2007,51,J Zhejiang Univ Sci B,Journal of Zhejiang University. Science. B,1,139,0.007194
